model,method,class,node,fidelity_plus,fidelity_minus,sparsity,n_high_imp_edges,avg_importance
graphsage,gnn,illicit,142515,-0.02095109224319458,0.0,0.9500032002730899,39,0.7589739561080933
graphsage,gnn,illicit,157686,0.46507104858756065,-5.960464477539063e-08,0.9500032002730899,4,0.9213998913764954
graphsage,gnn,illicit,179187,0.04389148950576782,0.0,0.9500032002730899,88,0.7316808104515076
graphsage,gnn,illicit,157681,0.0,0.0,0.9500032002730899,61,0.8635123372077942
graphsage,gnn,illicit,136312,0.09918522834777832,0.0,0.9500032002730899,47,0.7583627104759216
graphsage,gnn,illicit,189916,9.059906005859375e-06,0.0,0.9500032002730899,50,0.8553348779678345
graphsage,gnn,illicit,148166,0.002274036407470703,0.0,0.9500032002730899,196,0.7627559304237366
graphsage,gnn,licit,157133,0.0,0.0,0.9500032002730899,7,0.9045469164848328
graphsage,gnn,licit,157432,0.0,0.0,0.9500032002730899,0,0.0
graphsage,gnn,licit,179604,0.043118834495544434,-1.1920928955078125e-07,0.9500032002730899,6,0.898606538772583
graphsage,gnn,licit,155599,0.06491464376449585,0.0,0.9500032002730899,7,0.8752174377441406
graphsage,gnn,licit,176246,0.0,0.0,0.9500032002730899,0,0.0
graphsage,gnn,licit,151693,-3.898143768310547e-05,0.0,0.9500032002730899,1,0.8804060220718384
graphsage,gnn,licit,154673,0.0,0.0,0.9500032002730899,0,0.0
graphsage,gnn,licit,157158,0.0,0.0,0.9500032002730899,91,0.3349872827529907
graphsage,gnn,licit,199344,0.0,0.0,0.9500032002730899,12,0.6807200908660889
graphsage,gnn,licit,155748,0.0,0.0,0.9500032002730899,3,0.9179553389549255
graphsage,gnn,licit,167910,0.0,0.0,0.9500032002730899,39,0.25056496262550354
graphsage,gnn,licit,202016,0.0,0.0,0.9500032002730899,5,0.7611651420593262
graphsage,gnn,licit,199333,0.0003046393394470215,0.0,0.9500032002730899,16,0.422443151473999
graphsage,gnn,licit,179576,0.0,0.0,0.9500032002730899,6,0.9099127650260925
graphsage,gnn,licit,174173,0.24186021089553833,0.0,0.9500032002730899,40,0.5112475156784058
graphsage,gnn,licit,174960,0.0,0.0,0.9500032002730899,0,0.0
graphsage,gnn,licit,142838,0.0001322031021118164,0.0,0.9500032002730899,4,0.8826166391372681
graphsage,gnn,licit,167040,-0.016934752464294434,0.0,0.9500032002730899,28,0.5352096557617188
graphsage,gnn,licit,161612,0.0,0.0,0.9500032002730899,105,0.5704962611198425
graphsage,gnn,licit,161966,0.0,0.0,0.9500032002730899,2,0.6135504245758057
graphsage,gnn,licit,184625,0.0,0.0,0.9500032002730899,20,0.5989529490470886
graphsage,gnn,licit,136420,0.0,0.0,0.9500032002730899,2,0.9022168517112732
graphsage,gnn,licit,180653,0.0025013089179992676,0.0,0.9500032002730899,5,0.47070711851119995
graphsage,gnn,licit,185258,0.0002421736717224121,0.0,0.9500032002730899,18,0.5233479738235474
graphsage,gnn,licit,179834,0.0,0.0,0.9500032002730899,3,0.9042828679084778
graphsage,gnn,licit,138175,-1.6689300537109375e-06,0.0,0.9500032002730899,7,0.8989303708076477
graphsage,gnn,licit,158183,0.0008141994476318359,0.0,0.9500032002730899,48,0.2766095697879791
graphsage,gnn,licit,174897,0.48400935530662537,0.0,0.9500032002730899,15,0.5079633593559265
graphsage,gnn,licit,172178,-4.875659942626953e-05,0.0,0.9500032002730899,2,0.6605873107910156
graphsage,gnn,licit,181117,8.499622344970703e-05,0.0,0.9500032002730899,7,0.8141965866088867
graphsage,gnn,licit,167057,0.04937189817428589,0.0,0.9500032002730899,29,0.5585446357727051
graphsage,gnn,licit,179193,0.0,0.0,0.9500032002730899,76,0.49038904905319214
graphsage,gnn,licit,191039,0.003040134906768799,0.0,0.9500032002730899,5,0.8951418995857239
graphsage,gnn,licit,168828,0.27811577916145325,5.960464477539063e-08,0.9500032002730899,12,0.6590436697006226
graphsage,gnn,licit,154367,0.11303883790969849,0.0,0.9500032002730899,9,0.8739349842071533
graphsage,gnn,licit,154695,0.057466208934783936,0.0,0.9500032002730899,16,0.6197054982185364
graphsage,gnn,licit,175932,0.6109930276870728,0.0,0.9500032002730899,6,0.5010486245155334
graphsage,gnn,licit,180341,0.00621795654296875,0.0,0.9500032002730899,3,0.8880014419555664
graphsage,gnn,licit,162755,0.0001023411750793457,0.0,0.9500032002730899,12,0.5399597883224487
graphsage,gnn,licit,194298,0.07215690612792969,0.0,0.9500032002730899,10,0.6067054271697998
graphsage,gnn,licit,142948,0.0008240938186645508,0.0,0.9500032002730899,7,0.7270514965057373
graphsage,gnn,licit,157182,1.1920928955078125e-05,0.0,0.9500032002730899,10,0.5767616629600525
graphsage,gnn,licit,157279,0.0002471804618835449,0.0,0.9500032002730899,7,0.5935578942298889
graphsage,gnn,licit,185078,0.0,0.0,0.9500032002730899,0,0.0
graphsage,gnn,licit,179295,-0.03543651103973389,0.0,0.9500032002730899,18,0.663418710231781
graphsage,gnn,licit,198530,0.0,0.0,0.9500032002730899,14,0.376792311668396
graphsage,gnn,licit,154480,-0.017405033111572266,0.0,0.9500032002730899,6,0.5249617695808411
graphsage,gnn,licit,201336,-4.0531158447265625e-05,0.0,0.9500032002730899,11,0.7773091793060303
graphsage,gnn,licit,185104,0.0,0.0,0.9500032002730899,0,0.0
graphsage,gnn,licit,136431,-0.0071991682052612305,0.0,0.9500032002730899,5,0.6480115652084351
graphsage,pg,illicit,142234,0.003900289535522461,3.5762786865234375e-07,0.9500032002730899,54,0.509954571723938
graphsage,pg,illicit,142515,-0.02095109224319458,0.0,0.9500032002730899,40,0.8510668873786926
graphsage,pg,illicit,157686,0.46507104858756065,-5.960464477539063e-08,0.9500032002730899,3,0.7054535746574402
